line_name,line_begin,line_end,orderid_a,orderid_b,station_name_a,station_name_b,occur_num,line_num_line_id,num_new_station_id_a,num_new_station_id_b,direction
372路,怡乐南街公交场站,日新路南口,0,1,怡乐南街公交场站,通州半壁店,3,372,0,1,0
372路,怡乐南街公交场站,日新路南口,2,3,北探小区,新华联家园西门,2,372,2,3,0
372路,怡乐南街公交场站,日新路南口,2,4,北探小区,怡乐中路北口,2,372,2,4,0
372路,怡乐南街公交场站,日新路南口,3,4,新华联家园西门,怡乐中路北口,2,372,3,4,0
372路,怡乐南街公交场站,日新路南口,5,6,通州杨庄南口,通州杨庄,4,372,5,6,0
372路,怡乐南街公交场站,日新路南口,5,7,通州杨庄南口,新华联锦园,4,372,5,7,0
372路,怡乐南街公交场站,日新路南口,5,8,通州杨庄南口,通州杨庄北口,4,372,5,8,0
372路,怡乐南街公交场站,日新路南口,5,9,通州杨庄南口,通州北苑路口西,2,372,5,9,0
372路,怡乐南街公交场站,日新路南口,6,7,通州杨庄,新华联锦园,4,372,6,7,0
372路,怡乐南街公交场站,日新路南口,6,8,通州杨庄,通州杨庄北口,4,372,6,8,0
372路,怡乐南街公交场站,日新路南口,6,9,通州杨庄,通州北苑路口西,2,372,6,9,0
372路,怡乐南街公交场站,日新路南口,7,8,新华联锦园,通州杨庄北口,4,372,7,8,0
372路,怡乐南街公交场站,日新路南口,7,9,新华联锦园,通州北苑路口西,2,372,7,9,0
372路,怡乐南街公交场站,日新路南口,8,9,通州杨庄北口,通州北苑路口西,2,372,8,9,0
372路,怡乐南街公交场站,日新路南口,9,10,通州北苑路口西,通州北苑路口东,6,372,9,10,0
372路,怡乐南街公交场站,日新路南口,9,11,通州北苑路口西,通州西门路口东,4,372,9,11,0
372路,怡乐南街公交场站,日新路南口,9,12,通州北苑路口西,西大街路口西,4,372,9,12,0
372路,怡乐南街公交场站,日新路南口,9,13,通州北苑路口西,通州佟麟阁大街,2,372,9,13,0
372路,怡乐南街公交场站,日新路南口,9,14,通州北苑路口西,潞河医院,2,372,9,14,0
372路,怡乐南街公交场站,日新路南口,9,15,通州北苑路口西,果园北,2,372,9,15,0
372路,怡乐南街公交场站,日新路南口,10,13,通州北苑路口东,通州佟麟阁大街,2,372,10,13,0
372路,怡乐南街公交场站,日新路南口,10,14,通州北苑路口东,潞河医院,2,372,10,14,0
372路,怡乐南街公交场站,日新路南口,10,15,通州北苑路口东,果园北,2,372,10,15,0
372路,怡乐南街公交场站,日新路南口,11,13,通州西门路口东,通州佟麟阁大街,3,372,11,13,0
372路,怡乐南街公交场站,日新路南口,11,14,通州西门路口东,潞河医院,3,372,11,14,0
372路,怡乐南街公交场站,日新路南口,11,15,通州西门路口东,果园北,3,372,11,15,0
372路,怡乐南街公交场站,日新路南口,12,13,西大街路口西,通州佟麟阁大街,3,372,12,13,0
372路,怡乐南街公交场站,日新路南口,12,14,西大街路口西,潞河医院,3,372,12,14,0
372路,怡乐南街公交场站,日新路南口,12,15,西大街路口西,果园北,3,372,12,15,0
372路,怡乐南街公交场站,日新路南口,13,14,通州佟麟阁大街,潞河医院,9,372,13,14,0
372路,怡乐南街公交场站,日新路南口,13,15,通州佟麟阁大街,果园北,8,372,13,15,0
372路,怡乐南街公交场站,日新路南口,14,15,潞河医院,果园北,8,372,14,15,0
372路,怡乐南街公交场站,日新路南口,17,18,九棵树,杨家洼,10,372,17,18,0
372路,怡乐南街公交场站,日新路南口,17,19,九棵树,杨家洼路口南,2,372,17,19,0
372路,怡乐南街公交场站,日新路南口,17,20,九棵树,云景东路,2,372,17,20,0
372路,怡乐南街公交场站,日新路南口,17,21,九棵树,云景里,2,372,17,21,0
372路,怡乐南街公交场站,日新路南口,17,22,九棵树,群芳园,2,372,17,22,0
372路,怡乐南街公交场站,日新路南口,17,23,九棵树,大马庄,2,372,17,23,0
372路,怡乐南街公交场站,日新路南口,18,19,杨家洼,杨家洼路口南,3,372,18,19,0
372路,怡乐南街公交场站,日新路南口,18,20,杨家洼,云景东路,3,372,18,20,0
372路,怡乐南街公交场站,日新路南口,18,21,杨家洼,云景里,3,372,18,21,0
372路,怡乐南街公交场站,日新路南口,18,22,杨家洼,群芳园,3,372,18,22,0
372路,怡乐南街公交场站,日新路南口,18,23,杨家洼,大马庄,3,372,18,23,0
372路,怡乐南街公交场站,日新路南口,19,20,杨家洼路口南,云景东路,5,372,19,20,0
372路,怡乐南街公交场站,日新路南口,19,21,杨家洼路口南,云景里,5,372,19,21,0
372路,怡乐南街公交场站,日新路南口,19,22,杨家洼路口南,群芳园,5,372,19,22,0
372路,怡乐南街公交场站,日新路南口,19,23,杨家洼路口南,大马庄,4,372,19,23,0
372路,怡乐南街公交场站,日新路南口,19,24,杨家洼路口南,大马庄南站,2,372,19,24,0
372路,怡乐南街公交场站,日新路南口,19,25,杨家洼路口南,地铁万盛东站,2,372,19,25,0
372路,怡乐南街公交场站,日新路南口,20,21,云景东路,云景里,6,372,20,21,0
372路,怡乐南街公交场站,日新路南口,20,22,云景东路,群芳园,6,372,20,22,0
372路,怡乐南街公交场站,日新路南口,20,23,云景东路,大马庄,5,372,20,23,0
372路,怡乐南街公交场站,日新路南口,20,24,云景东路,大马庄南站,2,372,20,24,0
372路,怡乐南街公交场站,日新路南口,20,25,云景东路,地铁万盛东站,2,372,20,25,0
372路,怡乐南街公交场站,日新路南口,21,22,云景里,群芳园,6,372,21,22,0
372路,怡乐南街公交场站,日新路南口,21,23,云景里,大马庄,5,372,21,23,0
372路,怡乐南街公交场站,日新路南口,21,24,云景里,大马庄南站,2,372,21,24,0
372路,怡乐南街公交场站,日新路南口,21,25,云景里,地铁万盛东站,2,372,21,25,0
372路,怡乐南街公交场站,日新路南口,22,23,群芳园,大马庄,5,372,22,23,0
372路,怡乐南街公交场站,日新路南口,22,24,群芳园,大马庄南站,2,372,22,24,0
372路,怡乐南街公交场站,日新路南口,22,25,群芳园,地铁万盛东站,2,372,22,25,0
372路,怡乐南街公交场站,日新路南口,23,24,大马庄,大马庄南站,2,372,23,24,0
372路,怡乐南街公交场站,日新路南口,23,25,大马庄,地铁万盛东站,2,372,23,25,0
372路,怡乐南街公交场站,日新路南口,24,25,大马庄南站,地铁万盛东站,3,372,24,25,0
372路,怡乐南街公交场站,日新路南口,25,26,地铁万盛东站,曹园逸家小区,2,372,25,26,0
372路,日新路南口,怡乐南街公交场站,0,1,日新路南口,曹园逸家小区,2,372,0,1,1
372路,日新路南口,怡乐南街公交场站,0,2,日新路南口,地铁万盛东站,2,372,0,2,1
372路,日新路南口,怡乐南街公交场站,1,2,曹园逸家小区,地铁万盛东站,3,372,1,2,1
372路,日新路南口,怡乐南街公交场站,2,3,地铁万盛东站,大马庄南站,3,372,2,3,1
372路,日新路南口,怡乐南街公交场站,2,4,地铁万盛东站,大马庄,3,372,2,4,1
372路,日新路南口,怡乐南街公交场站,2,5,地铁万盛东站,群芳园,3,372,2,5,1
372路,日新路南口,怡乐南街公交场站,2,6,地铁万盛东站,云景里,3,372,2,6,1
372路,日新路南口,怡乐南街公交场站,2,7,地铁万盛东站,云景东路,3,372,2,7,1
372路,日新路南口,怡乐南街公交场站,2,8,地铁万盛东站,杨家洼路口南,3,372,2,8,1
372路,日新路南口,怡乐南街公交场站,3,4,大马庄南站,大马庄,3,372,3,4,1
372路,日新路南口,怡乐南街公交场站,3,5,大马庄南站,群芳园,3,372,3,5,1
372路,日新路南口,怡乐南街公交场站,3,6,大马庄南站,云景里,3,372,3,6,1
372路,日新路南口,怡乐南街公交场站,3,7,大马庄南站,云景东路,3,372,3,7,1
372路,日新路南口,怡乐南街公交场站,3,8,大马庄南站,杨家洼路口南,3,372,3,8,1
372路,日新路南口,怡乐南街公交场站,4,5,大马庄,群芳园,5,372,4,5,1
372路,日新路南口,怡乐南街公交场站,4,6,大马庄,云景里,5,372,4,6,1
372路,日新路南口,怡乐南街公交场站,4,7,大马庄,云景东路,5,372,4,7,1
372路,日新路南口,怡乐南街公交场站,4,8,大马庄,杨家洼路口南,5,372,4,8,1
372路,日新路南口,怡乐南街公交场站,4,9,大马庄,杨家洼,3,372,4,9,1
372路,日新路南口,怡乐南街公交场站,5,6,群芳园,云景里,5,372,5,6,1
372路,日新路南口,怡乐南街公交场站,5,7,群芳园,云景东路,5,372,5,7,1
372路,日新路南口,怡乐南街公交场站,5,8,群芳园,杨家洼路口南,5,372,5,8,1
372路,日新路南口,怡乐南街公交场站,5,9,群芳园,杨家洼,3,372,5,9,1
372路,日新路南口,怡乐南街公交场站,6,7,云景里,云景东路,6,372,6,7,1
372路,日新路南口,怡乐南街公交场站,6,8,云景里,杨家洼路口南,6,372,6,8,1
372路,日新路南口,怡乐南街公交场站,6,9,云景里,杨家洼,4,372,6,9,1
372路,日新路南口,怡乐南街公交场站,7,8,云景东路,杨家洼路口南,6,372,7,8,1
372路,日新路南口,怡乐南街公交场站,7,9,云景东路,杨家洼,4,372,7,9,1
372路,日新路南口,怡乐南街公交场站,8,9,杨家洼路口南,杨家洼,4,372,8,9,1
372路,日新路南口,怡乐南街公交场站,9,10,杨家洼,九棵树,11,372,9,10,1
372路,日新路南口,怡乐南街公交场站,11,12,果园北,潞河医院,7,372,11,12,1
372路,日新路南口,怡乐南街公交场站,11,13,果园北,通州佟麟阁大街,7,372,11,13,1
372路,日新路南口,怡乐南街公交场站,11,14,果园北,西大街路口西,3,372,11,14,1
372路,日新路南口,怡乐南街公交场站,11,15,果园北,通州西门路口东,3,372,11,15,1
372路,日新路南口,怡乐南街公交场站,11,16,果园北,通州北苑路口东,2,372,11,16,1
372路,日新路南口,怡乐南街公交场站,11,17,果园北,通州北苑路口西,2,372,11,17,1
372路,日新路南口,怡乐南街公交场站,12,13,潞河医院,通州佟麟阁大街,8,372,12,13,1
372路,日新路南口,怡乐南街公交场站,12,14,潞河医院,西大街路口西,3,372,12,14,1
372路,日新路南口,怡乐南街公交场站,12,15,潞河医院,通州西门路口东,3,372,12,15,1
372路,日新路南口,怡乐南街公交场站,12,16,潞河医院,通州北苑路口东,2,372,12,16,1
372路,日新路南口,怡乐南街公交场站,12,17,潞河医院,通州北苑路口西,2,372,12,17,1
372路,日新路南口,怡乐南街公交场站,13,14,通州佟麟阁大街,西大街路口西,3,372,13,14,1
372路,日新路南口,怡乐南街公交场站,13,15,通州佟麟阁大街,通州西门路口东,3,372,13,15,1
372路,日新路南口,怡乐南街公交场站,13,16,通州佟麟阁大街,通州北苑路口东,2,372,13,16,1
372路,日新路南口,怡乐南街公交场站,13,17,通州佟麟阁大街,通州北苑路口西,2,372,13,17,1
372路,日新路南口,怡乐南街公交场站,14,17,西大街路口西,通州北苑路口西,3,372,14,17,1
372路,日新路南口,怡乐南街公交场站,15,17,通州西门路口东,通州北苑路口西,4,372,15,17,1
