line_name,line_begin,line_end,orderid_a,orderid_b,station_name_a,station_name_b,occur_num,line_num_line_id,num_new_station_id_a,num_new_station_id_b,direction
583路,地铁黄渠站,翠福园小区,0,2,地铁黄渠站,常营民族家园西站,1,583,0,2,0
583路,地铁黄渠站,翠福园小区,0,3,地铁黄渠站,民族家园中路南口,1,583,0,3,0
583路,地铁黄渠站,翠福园小区,0,4,地铁黄渠站,三间房东路北口,1,583,0,4,0
583路,地铁黄渠站,翠福园小区,0,5,地铁黄渠站,汇鸿家园,1,583,0,5,0
583路,地铁黄渠站,翠福园小区,0,6,地铁黄渠站,科技大学管庄校区,1,583,0,6,0
583路,地铁黄渠站,翠福园小区,0,7,地铁黄渠站,管庄路口北,1,583,0,7,0
583路,地铁黄渠站,翠福园小区,0,8,地铁黄渠站,杨闸环岛西,1,583,0,8,0
583路,地铁黄渠站,翠福园小区,0,9,地铁黄渠站,杨闸环岛东,1,583,0,9,0
583路,地铁黄渠站,翠福园小区,0,10,地铁黄渠站,西军庄,1,583,0,10,0
583路,地铁黄渠站,翠福园小区,0,11,地铁黄渠站,八里桥北站,1,583,0,11,0
583路,地铁黄渠站,翠福园小区,0,12,地铁黄渠站,西马庄,1,583,0,12,0
583路,地铁黄渠站,翠福园小区,0,13,地铁黄渠站,北京物资学院南站,1,583,0,13,0
583路,地铁黄渠站,翠福园小区,0,14,地铁黄渠站,北京胸科医院,1,583,0,14,0
583路,地铁黄渠站,翠福园小区,0,15,地铁黄渠站,富河园小区,1,583,0,15,0
583路,地铁黄渠站,翠福园小区,0,16,地铁黄渠站,西潞苑小区,1,583,0,16,0
583路,地铁黄渠站,翠福园小区,0,17,地铁黄渠站,北马庄南,1,583,0,17,0
583路,地铁黄渠站,翠福园小区,1,2,常营中路西口,常营民族家园西站,1,583,1,2,0
583路,地铁黄渠站,翠福园小区,1,3,常营中路西口,民族家园中路南口,1,583,1,3,0
583路,地铁黄渠站,翠福园小区,1,4,常营中路西口,三间房东路北口,1,583,1,4,0
583路,地铁黄渠站,翠福园小区,1,5,常营中路西口,汇鸿家园,1,583,1,5,0
583路,地铁黄渠站,翠福园小区,1,6,常营中路西口,科技大学管庄校区,1,583,1,6,0
583路,地铁黄渠站,翠福园小区,1,7,常营中路西口,管庄路口北,1,583,1,7,0
583路,地铁黄渠站,翠福园小区,1,8,常营中路西口,杨闸环岛西,1,583,1,8,0
583路,地铁黄渠站,翠福园小区,1,9,常营中路西口,杨闸环岛东,1,583,1,9,0
583路,地铁黄渠站,翠福园小区,1,10,常营中路西口,西军庄,1,583,1,10,0
583路,地铁黄渠站,翠福园小区,1,11,常营中路西口,八里桥北站,1,583,1,11,0
583路,地铁黄渠站,翠福园小区,1,12,常营中路西口,西马庄,1,583,1,12,0
583路,地铁黄渠站,翠福园小区,1,13,常营中路西口,北京物资学院南站,1,583,1,13,0
583路,地铁黄渠站,翠福园小区,1,14,常营中路西口,北京胸科医院,1,583,1,14,0
583路,地铁黄渠站,翠福园小区,1,15,常营中路西口,富河园小区,1,583,1,15,0
583路,地铁黄渠站,翠福园小区,1,16,常营中路西口,西潞苑小区,1,583,1,16,0
583路,地铁黄渠站,翠福园小区,1,17,常营中路西口,北马庄南,1,583,1,17,0
583路,地铁黄渠站,翠福园小区,2,3,常营民族家园西站,民族家园中路南口,1,583,2,3,0
583路,地铁黄渠站,翠福园小区,2,4,常营民族家园西站,三间房东路北口,1,583,2,4,0
583路,地铁黄渠站,翠福园小区,2,5,常营民族家园西站,汇鸿家园,1,583,2,5,0
583路,地铁黄渠站,翠福园小区,2,6,常营民族家园西站,科技大学管庄校区,1,583,2,6,0
583路,地铁黄渠站,翠福园小区,2,7,常营民族家园西站,管庄路口北,1,583,2,7,0
583路,地铁黄渠站,翠福园小区,2,8,常营民族家园西站,杨闸环岛西,1,583,2,8,0
583路,地铁黄渠站,翠福园小区,2,9,常营民族家园西站,杨闸环岛东,1,583,2,9,0
583路,地铁黄渠站,翠福园小区,2,10,常营民族家园西站,西军庄,1,583,2,10,0
583路,地铁黄渠站,翠福园小区,2,11,常营民族家园西站,八里桥北站,1,583,2,11,0
583路,地铁黄渠站,翠福园小区,2,12,常营民族家园西站,西马庄,1,583,2,12,0
583路,地铁黄渠站,翠福园小区,2,13,常营民族家园西站,北京物资学院南站,1,583,2,13,0
583路,地铁黄渠站,翠福园小区,2,14,常营民族家园西站,北京胸科医院,1,583,2,14,0
583路,地铁黄渠站,翠福园小区,2,15,常营民族家园西站,富河园小区,1,583,2,15,0
583路,地铁黄渠站,翠福园小区,2,16,常营民族家园西站,西潞苑小区,1,583,2,16,0
583路,地铁黄渠站,翠福园小区,2,17,常营民族家园西站,北马庄南,1,583,2,17,0
583路,地铁黄渠站,翠福园小区,3,4,民族家园中路南口,三间房东路北口,1,583,3,4,0
583路,地铁黄渠站,翠福园小区,3,5,民族家园中路南口,汇鸿家园,1,583,3,5,0
583路,地铁黄渠站,翠福园小区,3,6,民族家园中路南口,科技大学管庄校区,1,583,3,6,0
583路,地铁黄渠站,翠福园小区,3,7,民族家园中路南口,管庄路口北,1,583,3,7,0
583路,地铁黄渠站,翠福园小区,3,8,民族家园中路南口,杨闸环岛西,1,583,3,8,0
583路,地铁黄渠站,翠福园小区,3,9,民族家园中路南口,杨闸环岛东,1,583,3,9,0
583路,地铁黄渠站,翠福园小区,3,10,民族家园中路南口,西军庄,1,583,3,10,0
583路,地铁黄渠站,翠福园小区,3,11,民族家园中路南口,八里桥北站,1,583,3,11,0
583路,地铁黄渠站,翠福园小区,3,12,民族家园中路南口,西马庄,1,583,3,12,0
583路,地铁黄渠站,翠福园小区,3,13,民族家园中路南口,北京物资学院南站,1,583,3,13,0
583路,地铁黄渠站,翠福园小区,3,14,民族家园中路南口,北京胸科医院,1,583,3,14,0
583路,地铁黄渠站,翠福园小区,3,15,民族家园中路南口,富河园小区,1,583,3,15,0
583路,地铁黄渠站,翠福园小区,3,16,民族家园中路南口,西潞苑小区,1,583,3,16,0
583路,地铁黄渠站,翠福园小区,3,17,民族家园中路南口,北马庄南,1,583,3,17,0
583路,地铁黄渠站,翠福园小区,4,5,三间房东路北口,汇鸿家园,1,583,4,5,0
583路,地铁黄渠站,翠福园小区,4,6,三间房东路北口,科技大学管庄校区,1,583,4,6,0
583路,地铁黄渠站,翠福园小区,4,7,三间房东路北口,管庄路口北,1,583,4,7,0
583路,地铁黄渠站,翠福园小区,4,8,三间房东路北口,杨闸环岛西,1,583,4,8,0
583路,地铁黄渠站,翠福园小区,4,9,三间房东路北口,杨闸环岛东,1,583,4,9,0
583路,地铁黄渠站,翠福园小区,4,10,三间房东路北口,西军庄,1,583,4,10,0
583路,地铁黄渠站,翠福园小区,4,11,三间房东路北口,八里桥北站,1,583,4,11,0
583路,地铁黄渠站,翠福园小区,4,12,三间房东路北口,西马庄,1,583,4,12,0
583路,地铁黄渠站,翠福园小区,4,13,三间房东路北口,北京物资学院南站,1,583,4,13,0
583路,地铁黄渠站,翠福园小区,4,14,三间房东路北口,北京胸科医院,1,583,4,14,0
583路,地铁黄渠站,翠福园小区,4,15,三间房东路北口,富河园小区,1,583,4,15,0
583路,地铁黄渠站,翠福园小区,4,16,三间房东路北口,西潞苑小区,1,583,4,16,0
583路,地铁黄渠站,翠福园小区,4,17,三间房东路北口,北马庄南,1,583,4,17,0
583路,地铁黄渠站,翠福园小区,5,6,汇鸿家园,科技大学管庄校区,1,583,5,6,0
583路,地铁黄渠站,翠福园小区,5,7,汇鸿家园,管庄路口北,1,583,5,7,0
583路,地铁黄渠站,翠福园小区,5,8,汇鸿家园,杨闸环岛西,1,583,5,8,0
583路,地铁黄渠站,翠福园小区,5,9,汇鸿家园,杨闸环岛东,1,583,5,9,0
583路,地铁黄渠站,翠福园小区,5,10,汇鸿家园,西军庄,1,583,5,10,0
583路,地铁黄渠站,翠福园小区,5,11,汇鸿家园,八里桥北站,1,583,5,11,0
583路,地铁黄渠站,翠福园小区,5,12,汇鸿家园,西马庄,1,583,5,12,0
583路,地铁黄渠站,翠福园小区,5,13,汇鸿家园,北京物资学院南站,1,583,5,13,0
583路,地铁黄渠站,翠福园小区,5,14,汇鸿家园,北京胸科医院,1,583,5,14,0
583路,地铁黄渠站,翠福园小区,5,15,汇鸿家园,富河园小区,1,583,5,15,0
583路,地铁黄渠站,翠福园小区,5,16,汇鸿家园,西潞苑小区,1,583,5,16,0
583路,地铁黄渠站,翠福园小区,5,17,汇鸿家园,北马庄南,1,583,5,17,0
583路,地铁黄渠站,翠福园小区,6,9,科技大学管庄校区,杨闸环岛东,1,583,6,9,0
583路,地铁黄渠站,翠福园小区,6,10,科技大学管庄校区,西军庄,1,583,6,10,0
583路,地铁黄渠站,翠福园小区,6,11,科技大学管庄校区,八里桥北站,1,583,6,11,0
583路,地铁黄渠站,翠福园小区,6,12,科技大学管庄校区,西马庄,1,583,6,12,0
583路,地铁黄渠站,翠福园小区,6,13,科技大学管庄校区,北京物资学院南站,1,583,6,13,0
583路,地铁黄渠站,翠福园小区,6,14,科技大学管庄校区,北京胸科医院,1,583,6,14,0
583路,地铁黄渠站,翠福园小区,6,15,科技大学管庄校区,富河园小区,1,583,6,15,0
583路,地铁黄渠站,翠福园小区,6,16,科技大学管庄校区,西潞苑小区,1,583,6,16,0
583路,地铁黄渠站,翠福园小区,6,17,科技大学管庄校区,北马庄南,1,583,6,17,0
583路,地铁黄渠站,翠福园小区,7,9,管庄路口北,杨闸环岛东,1,583,7,9,0
583路,地铁黄渠站,翠福园小区,7,10,管庄路口北,西军庄,1,583,7,10,0
583路,地铁黄渠站,翠福园小区,7,11,管庄路口北,八里桥北站,1,583,7,11,0
583路,地铁黄渠站,翠福园小区,7,12,管庄路口北,西马庄,1,583,7,12,0
583路,地铁黄渠站,翠福园小区,7,13,管庄路口北,北京物资学院南站,1,583,7,13,0
583路,地铁黄渠站,翠福园小区,7,14,管庄路口北,北京胸科医院,1,583,7,14,0
583路,地铁黄渠站,翠福园小区,7,15,管庄路口北,富河园小区,1,583,7,15,0
583路,地铁黄渠站,翠福园小区,7,16,管庄路口北,西潞苑小区,1,583,7,16,0
583路,地铁黄渠站,翠福园小区,7,17,管庄路口北,北马庄南,1,583,7,17,0
583路,地铁黄渠站,翠福园小区,8,15,杨闸环岛西,富河园小区,1,583,8,15,0
583路,地铁黄渠站,翠福园小区,8,16,杨闸环岛西,西潞苑小区,1,583,8,16,0
583路,地铁黄渠站,翠福园小区,8,17,杨闸环岛西,北马庄南,1,583,8,17,0
583路,地铁黄渠站,翠福园小区,9,15,杨闸环岛东,富河园小区,1,583,9,15,0
583路,地铁黄渠站,翠福园小区,9,16,杨闸环岛东,西潞苑小区,1,583,9,16,0
583路,地铁黄渠站,翠福园小区,9,17,杨闸环岛东,北马庄南,1,583,9,17,0
583路,地铁黄渠站,翠福园小区,10,15,西军庄,富河园小区,1,583,10,15,0
583路,地铁黄渠站,翠福园小区,10,16,西军庄,西潞苑小区,1,583,10,16,0
583路,地铁黄渠站,翠福园小区,10,17,西军庄,北马庄南,1,583,10,17,0
583路,地铁黄渠站,翠福园小区,11,15,八里桥北站,富河园小区,1,583,11,15,0
583路,地铁黄渠站,翠福园小区,11,16,八里桥北站,西潞苑小区,1,583,11,16,0
583路,地铁黄渠站,翠福园小区,11,17,八里桥北站,北马庄南,1,583,11,17,0
583路,地铁黄渠站,翠福园小区,12,15,西马庄,富河园小区,1,583,12,15,0
583路,地铁黄渠站,翠福园小区,12,16,西马庄,西潞苑小区,1,583,12,16,0
583路,地铁黄渠站,翠福园小区,12,17,西马庄,北马庄南,1,583,12,17,0
583路,地铁黄渠站,翠福园小区,13,15,北京物资学院南站,富河园小区,1,583,13,15,0
583路,地铁黄渠站,翠福园小区,13,16,北京物资学院南站,西潞苑小区,1,583,13,16,0
583路,地铁黄渠站,翠福园小区,13,17,北京物资学院南站,北马庄南,1,583,13,17,0
583路,地铁黄渠站,翠福园小区,14,17,北京胸科医院,北马庄南,1,583,14,17,0
583路,翠福园小区,地铁黄渠站,0,4,翠福园小区,北京胸科医院,1,583,0,4,1
583路,翠福园小区,地铁黄渠站,0,5,翠福园小区,北京物资学院南站,1,583,0,5,1
583路,翠福园小区,地铁黄渠站,0,6,翠福园小区,西马庄,1,583,0,6,1
583路,翠福园小区,地铁黄渠站,0,7,翠福园小区,八里桥北站,1,583,0,7,1
583路,翠福园小区,地铁黄渠站,0,8,翠福园小区,西军庄,1,583,0,8,1
583路,翠福园小区,地铁黄渠站,0,9,翠福园小区,杨闸环岛东,1,583,0,9,1
583路,翠福园小区,地铁黄渠站,0,10,翠福园小区,杨闸环岛西,1,583,0,10,1
583路,翠福园小区,地铁黄渠站,0,11,翠福园小区,管庄路口北,1,583,0,11,1
583路,翠福园小区,地铁黄渠站,0,12,翠福园小区,科技大学管庄校区,1,583,0,12,1
583路,翠福园小区,地铁黄渠站,0,13,翠福园小区,汇鸿家园,1,583,0,13,1
583路,翠福园小区,地铁黄渠站,0,14,翠福园小区,三间房东路北口,1,583,0,14,1
583路,翠福园小区,地铁黄渠站,0,15,翠福园小区,常营西站,1,583,0,15,1
583路,翠福园小区,地铁黄渠站,1,4,北马庄南,北京胸科医院,1,583,1,4,1
583路,翠福园小区,地铁黄渠站,1,5,北马庄南,北京物资学院南站,1,583,1,5,1
583路,翠福园小区,地铁黄渠站,1,6,北马庄南,西马庄,1,583,1,6,1
583路,翠福园小区,地铁黄渠站,1,7,北马庄南,八里桥北站,1,583,1,7,1
583路,翠福园小区,地铁黄渠站,1,8,北马庄南,西军庄,1,583,1,8,1
583路,翠福园小区,地铁黄渠站,1,9,北马庄南,杨闸环岛东,1,583,1,9,1
583路,翠福园小区,地铁黄渠站,1,10,北马庄南,杨闸环岛西,1,583,1,10,1
583路,翠福园小区,地铁黄渠站,1,11,北马庄南,管庄路口北,1,583,1,11,1
583路,翠福园小区,地铁黄渠站,1,12,北马庄南,科技大学管庄校区,1,583,1,12,1
583路,翠福园小区,地铁黄渠站,1,13,北马庄南,汇鸿家园,1,583,1,13,1
583路,翠福园小区,地铁黄渠站,1,14,北马庄南,三间房东路北口,1,583,1,14,1
583路,翠福园小区,地铁黄渠站,1,15,北马庄南,常营西站,1,583,1,15,1
